log_id,logical_signal,topic,fields,scale,unit
0d728b7d-8d15-4975-b834-1c6b3174b062,battery_remaining,battery_status,remaining,1.0,fraction
0d728b7d-8d15-4975-b834-1c6b3174b062,battery_voltage,battery_status,voltage_filtered_v,1.0,V
0d728b7d-8d15-4975-b834-1c6b3174b062,landed,vehicle_land_detected,landed,1.0,boolean
0d728b7d-8d15-4975-b834-1c6b3174b062,local_position,vehicle_local_position,"x,y,z",1.0,m
0d728b7d-8d15-4975-b834-1c6b3174b062,home_position,home_position,"x,y",1.0,m
0d728b7d-8d15-4975-b834-1c6b3174b062,local_position_vz,vehicle_local_position,vz,1.0,m/s
0d728b7d-8d15-4975-b834-1c6b3174b062,land_detected,vehicle_land_detected,landed,1.0,boolean
0d728b7d-8d15-4975-b834-1c6b3174b062,gps,sensor_gps,fix_type,1.0,fix_type
0d728b7d-8d15-4975-b834-1c6b3174b062,gps_latitude,sensor_gps,latitude_deg,1.0,deg
0d728b7d-8d15-4975-b834-1c6b3174b062,gps_longitude,sensor_gps,longitude_deg,1.0,deg
0d728b7d-8d15-4975-b834-1c6b3174b062,gps_altitude,sensor_gps,altitude_msl_m,1.0,m
0d728b7d-8d15-4975-b834-1c6b3174b062,trajectory_setpoint,trajectory_setpoint,position[2],1.0,m
0d728b7d-8d15-4975-b834-1c6b3174b062,nav_state,vehicle_status,nav_state,1.0,enum
0d728b7d-8d15-4975-b834-1c6b3174b062,sensor_combined_or_imu_status,sensor_combined,accelerometer_m_s2[2],1.0,m/s^2
24835a82-9762-4118-84a3-71097ecc2a40,battery_remaining,battery_status,remaining,1.0,fraction
24835a82-9762-4118-84a3-71097ecc2a40,battery_voltage,battery_status,voltage_filtered_v,1.0,V
24835a82-9762-4118-84a3-71097ecc2a40,landed,vehicle_land_detected,landed,1.0,boolean
24835a82-9762-4118-84a3-71097ecc2a40,local_position,vehicle_local_position,"x,y,z",1.0,m
24835a82-9762-4118-84a3-71097ecc2a40,home_position,home_position,"x,y",1.0,m
24835a82-9762-4118-84a3-71097ecc2a40,local_position_vz,vehicle_local_position,vz,1.0,m/s
24835a82-9762-4118-84a3-71097ecc2a40,land_detected,vehicle_land_detected,landed,1.0,boolean
24835a82-9762-4118-84a3-71097ecc2a40,gps,sensor_gps,fix_type,1.0,fix_type
24835a82-9762-4118-84a3-71097ecc2a40,gps_latitude,sensor_gps,latitude_deg,1.0,deg
24835a82-9762-4118-84a3-71097ecc2a40,gps_longitude,sensor_gps,longitude_deg,1.0,deg
24835a82-9762-4118-84a3-71097ecc2a40,gps_altitude,sensor_gps,altitude_msl_m,1.0,m
24835a82-9762-4118-84a3-71097ecc2a40,trajectory_setpoint,trajectory_setpoint,position[2],1.0,m
24835a82-9762-4118-84a3-71097ecc2a40,nav_state,vehicle_status,nav_state,1.0,enum
24835a82-9762-4118-84a3-71097ecc2a40,sensor_combined_or_imu_status,sensor_combined,accelerometer_m_s2[2],1.0,m/s^2
36d2e007-ddeb-40b1-ac63-16159708cca6,battery_remaining,battery_status,remaining,1.0,fraction
36d2e007-ddeb-40b1-ac63-16159708cca6,battery_voltage,battery_status,voltage_filtered_v,1.0,V
36d2e007-ddeb-40b1-ac63-16159708cca6,landed,vehicle_land_detected,landed,1.0,boolean
36d2e007-ddeb-40b1-ac63-16159708cca6,local_position,vehicle_local_position,"x,y,z",1.0,m
36d2e007-ddeb-40b1-ac63-16159708cca6,home_position,home_position,"x,y",1.0,m
36d2e007-ddeb-40b1-ac63-16159708cca6,local_position_vz,vehicle_local_position,vz,1.0,m/s
36d2e007-ddeb-40b1-ac63-16159708cca6,land_detected,vehicle_land_detected,landed,1.0,boolean
36d2e007-ddeb-40b1-ac63-16159708cca6,gps,sensor_gps,fix_type,1.0,fix_type
36d2e007-ddeb-40b1-ac63-16159708cca6,gps_latitude,sensor_gps,latitude_deg,1.0,deg
36d2e007-ddeb-40b1-ac63-16159708cca6,gps_longitude,sensor_gps,longitude_deg,1.0,deg
36d2e007-ddeb-40b1-ac63-16159708cca6,gps_altitude,sensor_gps,altitude_msl_m,1.0,m
36d2e007-ddeb-40b1-ac63-16159708cca6,trajectory_setpoint,trajectory_setpoint,position[2],1.0,m
36d2e007-ddeb-40b1-ac63-16159708cca6,nav_state,vehicle_status,nav_state,1.0,enum
36d2e007-ddeb-40b1-ac63-16159708cca6,sensor_combined_or_imu_status,sensor_combined,accelerometer_m_s2[2],1.0,m/s^2
6032c737-ca04-4331-92a2-d666d9a39d51,battery_remaining,battery_status,remaining,1.0,fraction
6032c737-ca04-4331-92a2-d666d9a39d51,battery_voltage,battery_status,voltage_filtered_v,1.0,V
6032c737-ca04-4331-92a2-d666d9a39d51,landed,vehicle_land_detected,landed,1.0,boolean
6032c737-ca04-4331-92a2-d666d9a39d51,local_position,vehicle_local_position,"x,y,z",1.0,m
6032c737-ca04-4331-92a2-d666d9a39d51,home_position,home_position,"x,y",1.0,m
6032c737-ca04-4331-92a2-d666d9a39d51,local_position_vz,vehicle_local_position,vz,1.0,m/s
6032c737-ca04-4331-92a2-d666d9a39d51,land_detected,vehicle_land_detected,landed,1.0,boolean
6032c737-ca04-4331-92a2-d666d9a39d51,gps,sensor_gps,fix_type,1.0,fix_type
6032c737-ca04-4331-92a2-d666d9a39d51,gps_latitude,sensor_gps,latitude_deg,1.0,deg
6032c737-ca04-4331-92a2-d666d9a39d51,gps_longitude,sensor_gps,longitude_deg,1.0,deg
6032c737-ca04-4331-92a2-d666d9a39d51,gps_altitude,sensor_gps,altitude_msl_m,1.0,m
6032c737-ca04-4331-92a2-d666d9a39d51,trajectory_setpoint,trajectory_setpoint,position[2],1.0,m
6032c737-ca04-4331-92a2-d666d9a39d51,nav_state,vehicle_status,nav_state,1.0,enum
6032c737-ca04-4331-92a2-d666d9a39d51,sensor_combined_or_imu_status,sensor_combined,accelerometer_m_s2[2],1.0,m/s^2
73513a42-ca33-4642-afef-ff592005b539,battery_remaining,battery_status,remaining,1.0,fraction
73513a42-ca33-4642-afef-ff592005b539,battery_voltage,battery_status,voltage_filtered_v,1.0,V
73513a42-ca33-4642-afef-ff592005b539,landed,vehicle_land_detected,landed,1.0,boolean
73513a42-ca33-4642-afef-ff592005b539,local_position,vehicle_local_position,"x,y,z",1.0,m
73513a42-ca33-4642-afef-ff592005b539,home_position,home_position,"x,y",1.0,m
73513a42-ca33-4642-afef-ff592005b539,local_position_vz,vehicle_local_position,vz,1.0,m/s
73513a42-ca33-4642-afef-ff592005b539,land_detected,vehicle_land_detected,landed,1.0,boolean
73513a42-ca33-4642-afef-ff592005b539,gps,sensor_gps,fix_type,1.0,fix_type
73513a42-ca33-4642-afef-ff592005b539,gps_latitude,sensor_gps,latitude_deg,1.0,deg
73513a42-ca33-4642-afef-ff592005b539,gps_longitude,sensor_gps,longitude_deg,1.0,deg
73513a42-ca33-4642-afef-ff592005b539,gps_altitude,sensor_gps,altitude_msl_m,1.0,m
73513a42-ca33-4642-afef-ff592005b539,trajectory_setpoint,trajectory_setpoint,position[2],1.0,m
73513a42-ca33-4642-afef-ff592005b539,nav_state,vehicle_status,nav_state,1.0,enum
73513a42-ca33-4642-afef-ff592005b539,sensor_combined_or_imu_status,sensor_combined,accelerometer_m_s2[2],1.0,m/s^2
